mseq,Index,S
307,306,-7.5427237
308,307,-5.3335385
309,308,-5.8730264
310,309,-5.137732
311,310,-4.7006741
312,311,-5.4364128
313,312,-4.6832342
314,313,-5.3735065
315,314,-5.1243153
316,315,-6.2265568
317,316,-4.2503324
318,317,-6.0812044
319,318,-5.4725852
320,319,-4.0679379
321,320,-5.161047
322,321,-7.6654768
323,322,-5.7716818
324,323,-6.2081375
325,324,-5.1812005
326,325,-5.4572558
327,326,-4.6499763
328,327,-7.2109537
329,328,-5.2119727
330,329,-9.225915
331,330,-5.0417624
332,331,-4.5260057
333,332,-4.8120012
334,333,-6.0822563
335,334,-8.0797129
336,335,-5.0391188
337,336,-4.9806156
338,337,-4.7609143
339,338,-5.1953759
340,339,-6.2367301
341,340,-5.5382023
342,341,-5.0271492
343,342,-4.299602
344,343,-5.3567405
345,344,-5.5845594
347,346,-5.4468584
348,347,-7.7597823
349,348,-4.8438973
351,350,-3.888597
352,351,-4.3115211
353,352,-9.1037302
354,353,-5.3811297
355,354,-6.3801122
356,355,-5.6650872
357,356,-8.9211941
358,357,-5.794951
359,358,-8.5435677
360,359,-7.1304102
361,360,-6.5544209
362,361,-5.0899806
363,362,-7.8645253
364,363,-9.4183493
365,364,-6.9278388
366,365,-9.0812054
367,366,-10.414519
369,368,-4.1912823
370,369,-8.2508249
373,372,-6.6505442
374,373,-6.240633
375,374,-8.3765335
376,375,-5.6211152
377,376,-8.1665583
378,377,-6.5432005
380,379,-5.2770538
381,380,-7.5293145
382,381,-4.5985188
383,382,-4.4164195
384,383,-4.9988995
386,385,-4.8247228
387,386,-4.3991117
388,387,-5.303431
389,388,-7.1540256
390,389,-6.57232
391,390,-5.761744
392,391,-4.4843116
393,392,-4.8662739
395,394,-7.6915607
396,395,-4.8153915
397,396,-6.3435092
398,397,-6.5766535
399,398,-6.0936909
400,399,-5.7956948
401,400,-5.8823686
402,401,-5.8857741
403,402,-5.5655446
404,403,-7.5009408
405,404,-6.50353
406,405,-8.3150406
407,406,-8.1092396
408,407,-6.1056757
409,408,-4.7139964
410,409,-5.7427011
411,410,-7.7668462
412,411,-8.6353264
413,412,-6.216011
414,413,-8.7434111
416,415,-7.7965889
417,416,-5.389617
418,417,-9.1473885
419,418,-4.745048
420,419,-6.7109871
421,420,-6.6342387
422,421,-8.0057669
423,422,-6.1032991
424,423,-5.7882509
425,424,-4.3657007
426,425,-7.2160521
427,426,-5.3024316
428,427,-4.3787222
429,428,-5.5253906
431,430,-5.1910338
432,431,-5.1810441
433,432,-5.374229
435,434,-4.2830195
436,435,-6.1115603
437,436,-9.1438265
438,437,-5.8333979
441,440,-6.4779234
442,441,-5.0817776
443,442,-8.0730286
444,443,-5.3133178
445,444,-6.1011968
446,445,-6.086401
447,446,-9.3346195
448,447,-6.4388356
449,448,-5.584362
450,449,-6.9188914
451,450,-5.64996
452,451,-4.864984
453,452,-6.4189801
454,453,-5.3054256
455,454,-5.6417985
456,455,-5.0161357
457,456,-5.2512622
458,457,-5.7667794
459,458,-6.687851
