mseq,Index,S
1,0,-8.1584291
2,1,-6.3066654
3,2,-5.774106
4,3,-5.8961778
5,4,-6.0187798
6,5,-5.6369677
7,6,-6.5579729
8,7,-5.6379623
9,8,-5.1886034
10,9,-5.1435151
11,10,-4.8675594
12,11,-4.9546366
13,12,-6.216455
14,13,-3.6713905
15,14,-8.9339552
16,15,-5.5255146
17,16,-4.8597212
18,17,-4.2323136
19,18,-5.9186683
20,19,-3.6710806
21,20,-5.8719187
22,21,-4.8689156
23,22,-5.5522866
24,23,-6.3755274
25,24,-6.770349
27,26,-5.1380672
28,27,-5.3976336
29,28,-5.1016884
30,29,-6.0620918
31,30,-5.8611488
32,31,-6.9065084
33,32,-4.6728683
34,33,-4.5366888
35,34,-6.5112939
36,35,-5.8007698
37,36,-7.9722533
38,37,-6.1343961
39,38,-6.3660884
40,39,-5.179491
41,40,-5.4769726
42,41,-5.7072225
43,42,-5.5832958
44,43,-5.0160184
45,44,-5.6735749
46,45,-6.7977719
47,46,-7.8552904
48,47,-6.7701964
49,48,-5.8292542
50,49,-4.5266519
51,50,-4.5619664
52,51,-4.9086118
53,52,-4.4577918
54,53,-7.8423533
55,54,-4.815361
56,55,-5.676158
57,56,-4.8499851
58,57,-5.5498714
59,58,-4.8515768
60,59,-4.5006533
61,60,-3.9908285
62,61,-6.1953483
63,62,-5.2305698
64,63,-4.3989635
65,64,-7.1779752
66,65,-6.5432091
67,66,-5.1593003
68,67,-5.6272354
69,68,-6.3574924
70,69,-8.1681643
71,70,-4.7916403
72,71,-7.8702765
73,72,-4.9026909
74,73,-7.321269
75,74,-5.090909
76,75,-5.6098714
77,76,-4.4027014
78,77,-6.839829
79,78,-5.0103598
80,79,-6.5870562
81,80,-6.2662072
82,81,-5.044591
83,82,-6.6294489
84,83,-8.0448751
86,85,-6.1442957
87,86,-6.6862669
88,87,-4.7811599
89,88,-5.4921765
90,89,-4.0588307
91,90,-5.7995396
93,92,-6.0975256
94,93,-5.4770393
95,94,-6.8353968
102,101,-6.1233468
103,102,-6.5093307
104,103,-6.9213018
106,105,-5.1290665
