Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings,Tanimoto_to_PFOS,Tanimoto_to_PFOA,Docking Score
CCN(CC(=O)[O][Cr]([Cl])([Cl])([O]C(C)C)[O][Cr]([Cl])([Cl])[O]C(C)C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.O.O,800.2050000000004,4.857900000000006,243.174877037874,154.37,0.0,7.0,14.0,0.0,0.2456140350877192,0.1666666666666666,
O=S(=O)([O-])c1ccc(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],677.2860000000002,2.303300000000001,231.51771559319147,103.37,1.0,5.0,10.0,1.0,0.3513513513513513,0.225,
O=S(=O)(NCCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.OCCNCCO,448.3040000000001,-0.1155999999999998,146.76258135348357,118.89,5.0,6.0,10.0,0.0,0.3939393939393939,0.25,
CCP(OCC(C)C)OCC(C)C.FC(F)(F)C(F)(F)C(F)(F)I,502.189,6.875200000000005,152.4450898517868,18.46,0.0,2.0,8.0,0.0,0.15,0.1538461538461538,
O=P([O-])(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],466.062,0.5966,162.11082909773276,69.59,1.0,3.0,8.0,0.0,0.2702702702702703,0.2777777777777778,
O=P([O-])(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],1012.1760000000004,8.291000000000002,326.2856894092538,58.59,0.0,4.0,20.0,0.0,0.25,0.2571428571428571,
CCN(CCCS(=O)(=O)[O-])C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],585.2610000000001,1.1483000000000003,207.56497884748205,77.50999999999999,0.0,4.0,11.0,0.0,0.2790697674418604,0.3170731707317073,
O=C([O-])C1CCCN1S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],631.2300000000002,0.933999999999999,217.43064226638944,77.50999999999999,0.0,4.0,11.0,1.0,0.2608695652173913,0.2391304347826087,
C[N+](C)([O-])CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],488.36,0.7192000000000003,193.795899669446,71.3,0.0,3.0,9.0,0.0,0.3333333333333333,0.2142857142857142,
O=C([O-])CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],474.214,0.9925000000000002,174.0328979101536,40.13,0.0,3.0,10.0,0.0,0.2631578947368421,0.3055555555555556,
