Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings
O=C(CCCCC(=O)OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1318.1880000000008,14.039399999999988,379.29470271721846,52.60000000000001,0.0,4.0,25.0,0.0
FC(F)(F)COC(F)(F)C(F)(F)Cl,234.49799999999996,2.9897,72.40963664789156,9.23,0.0,1.0,3.0,0.0
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2ccccc2)c1F,530.4150000000002,7.236540000000004,204.84723812311472,58.2,2.0,2.0,5.0,3.0
N#CC=Cc1ccc(OCC(F)(F)C(F)F)cc1,259.20199999999994,3.502580000000002,101.0997192963729,33.019999999999996,0.0,2.0,5.0,1.0
O=C(O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1(F)F,576.0960000000001,6.145900000000002,174.1797824463537,37.3,1.0,1.0,5.0,1.0
Cl.FC1(F)CNCC1(F)F,179.54399999999998,1.2820000000000003,61.19334326535254,12.03,1.0,1.0,0.0,1.0
CCN([O-])CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,499.26899999999995,3.8119000000000023,159.35937640773716,72.47,1.0,4.0,11.0,0.0
C=C(Br)C(F)(F)C(F)(F)F,224.95399999999995,3.0926,61.83969895910766,0.0,0.0,0.0,1.0,0.0
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,642.1460000000002,7.766500000000005,196.2465686345286,37.3,1.0,1.0,12.0,0.0
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,714.1500000000003,8.554700000000002,215.11213026058638,20.23,1.0,1.0,13.0,0.0
O=C(O)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,414.06399999999996,4.6502,124.7326327247391,37.3,1.0,1.0,3.0,0.0
FC(F)=C(F)OCC(F)(F)C(F)(F)F,230.05399999999995,3.2357000000000005,71.94724490614847,9.23,0.0,1.0,3.0,0.0
O=P(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,802.0740000000004,9.920000000000002,232.62006451318908,37.3,1.0,1.0,12.0,0.0
CCN(CCC[N+](C)(C)CCC(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,834.4300000000004,6.117400000000004,269.291578154722,77.51,0.0,4.0,19.0,0.0
O=C(O)c1ccc(C(F)(F)C(F)(F)C(F)(F)F)cc1,290.13399999999996,3.674200000000001,101.00567524980683,37.3,1.0,1.0,3.0,1.0
O=S(=O)(O)c1ccc(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,654.2410000000002,7.429600000000004,206.2785751264247,63.60000000000001,1.0,3.0,10.0,1.0
O=P([O-])(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.O=P([O-])(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.O=P([O-])(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Er+3],1670.3320000000012,16.428599999999996,466.3037487063016,120.38999999999999,0.0,6.0,18.0,0.0
O=S(=O)(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,782.2090000000003,7.055200000000005,225.8398845074704,77.51,0.0,5.0,12.0,0.0
CCc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(=O)(=O)C(C)CC,438.36100000000005,4.808800000000003,155.82072631797305,71.44,1.0,3.0,6.0,1.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,666.1340000000004,9.244200000000001,199.78741899106754,0.0,0.0,0.0,11.0,0.0
O=S(=O)(Cc1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,374.22399999999993,4.027100000000002,123.3713306996027,34.14,0.0,2.0,5.0,1.0
N#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,495.07899999999995,6.154680000000003,149.56148239446617,23.79,0.0,1.0,7.0,0.0
O=C(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,316.04099999999994,3.586,94.71190853497116,17.07,0.0,1.0,2.0,0.0
O=C(C(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)N1CCCC1,349.1680000000001,3.6202000000000014,116.59460870337928,20.310000000000002,0.0,1.0,3.0,1.0
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,530.533,5.985000000000001,160.2623893891927,37.3,1.0,1.0,9.0,0.0
FC(F)(F)C(OCC1CO1)(c1ccccc1)C(F)(F)F,300.198,3.4219000000000017,109.83552752891855,21.759999999999998,0.0,2.0,4.0,2.0
O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,608.1130000000002,7.204400000000004,185.02648808502153,37.3,1.0,1.0,10.0,0.0
Oc1ccc(CCCNCC(F)(F)C(F)(F)F)cc1O,299.239,2.817600000000001,111.58706250850784,52.489999999999995,3.0,3.0,6.0,1.0
CC(C)(C)C(N)=CC(=O)C(F)(F)C(F)(F)C(F)(F)F,295.1979999999999,3.277100000000001,103.99428764275487,43.09,1.0,2.0,3.0,0.0
FC(F)(F)C1(C(F)(F)F)C[CH-]CO1.[C-]#[O+].[C-]#[O+].[Fe+6].[c-]1[c-][c-][cH-][c-]1,380.0210000000001,3.0031300000000014,138.81538733223087,49.03,0.0,1.0,0.0,2.0
FCOC(C(F)(F)F)C(F)(F)F,200.05299999999997,2.4232000000000005,62.10637042100989,9.23,0.0,1.0,2.0,0.0
Oc1ccc(Br)cc1CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,583.1290000000001,7.851500000000006,182.22563666519395,20.23,1.0,1.0,8.0,1.0
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,454.148,6.440800000000003,144.02297466864346,0.0,0.0,0.0,9.0,0.0
C[N+](C)(CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],477.261,3.7218000000000018,160.56101976206494,40.129999999999995,0.0,2.0,11.0,0.0
O=S(=O)(O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)F,462.12999999999994,4.0007,136.3996817290107,54.370000000000005,1.0,2.0,2.0,1.0
FC(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,464.09,6.479000000000003,140.31376427788695,0.0,0.0,0.0,6.0,0.0
CCC(OC(=O)C(C(=O)[O-])C(F)(F)F)(C(F)(F)F)C(F)(F)F,349.12499999999994,1.7314,115.37942975112892,66.43,0.0,4.0,4.0,0.0
O=C=Nc1ccc2c(c1)C(F)(F)OC(F)(F)O2,249.11899999999991,2.6625000000000005,91.46647496578014,47.89,0.0,4.0,1.0,2.0
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,346.08599999999996,4.911200000000001,106.75620303446259,0.0,0.0,0.0,5.0,0.0
O=C(O)C(F)(Cl)C(F)(F)F,180.48399999999998,1.5379,57.39029894744916,37.3,1.0,1.0,1.0,0.0
