PREFERRED NAME,CASRN,SMILES,MOLECULAR FORMULA,AVERAGE MASS,Canonical SMILES
"Poly[oxy(1,1,2,2,3,3,4,4,5,5-decafluoro-1,5-pentanediyl)], αlpha-[5-[[2-(carboxymethyl)-1-oxooctadecyl]oxy]-1,1,2,2,3,3,4,4-octafluoropentyl]-omega-(nonafluorobutoxy)-",219795-01-4,"CCCCCCCCCCCCCCCCC(CC(O)=O)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F |lp:19:2,20:2,22:2,23:2,26:3,27:3,29:3,30:3,32:3,33:3,35:3,36:3,37:2,39:3,40:3,42:3,43:3,45:3,46:3,48:3,49:3,51:3,52:3,53:2,55:3,56:3,58:3,59:3,61:3,62:3,64:3,65:3,66:3,Sg:n:52,51,49,48,50,46,45,47,43,42,44,40,39,41,38,37::ht|",(C5F10O)nC29H39F17O5,,CCCCCCCCCCCCCCCCC(CC(=O)O)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Perfluoro-5-(heptafluoropropyl)cyclohexanesulfonic acid,NOCAS_1034952,OS(=O)(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C(F)(F)F)C1(F)F,C9HF17O3S,512.14,O=S(=O)(O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C(F)(F)F)C1(F)F
Bis(perfluorobutyl) phosphinic acid erbium(3+) salt,500776-85-2,[Er+3].[O-]P(=O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[O-]P(=O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[O-]P(=O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C24ErF54O6P3,1670.352,O=P([O-])(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.O=P([O-])(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.O=P([O-])(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Er+3]
"(2Z)-1-(Butylthio)-3,4,4,5,5,6,6,6-octafluoro-2-hexene",90292-35-6,CCCCSCC=C(F)C(F)(F)C(F)(F)C(F)(F)F,C10H12F8S,316.25,CCCCSCC=C(F)C(F)(F)C(F)(F)C(F)(F)F
3-(Nonafluorobutoxy)propanoic acid,919005-48-4,OC(=O)CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7H5F9O3,308.1,O=C(O)CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"3,3,3',3'-tetrakis(trifluoromethyl)-1,1'-spirobi[2,1-benzoxaphosphol-1-ium]",77121-88-1,FC(F)(F)C1(O[P+]2(OC(C3=CC=CC=C23)(C(F)(F)F)C(F)(F)F)C2=CC=CC=C12)C(F)(F)F,C18H8F12O2P,515.214,FC(F)(F)C1(C(F)(F)F)O[P+]2(OC(C(F)(F)F)(C(F)(F)F)c3ccccc32)c2ccccc21
Allyl pentafluoropropionate,58883-50-4,FC(F)(F)C(F)(F)C(=O)OCC=C,C6H5F5O2,204.096,C=CCOC(=O)C(F)(F)C(F)(F)F
1-(Perfluoroethyl)-2-(perfluorohexyl)ethene,86563-87-3,FC(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H2F18,464.097,FC(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
1-Nitro-3-(nonafluorobutyl)benzene,2398-76-7,[O-][N+](=O)C1=CC(=CC=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H4F9NO2,341.133,O=[N+]([O-])c1cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1
Octan-2-yl heptafluorobutanoate,560-01-0,CCCCCCC(C)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,C12H17F7O2,326.255,CCCCCCC(C)OC(=O)C(F)(F)C(F)(F)C(F)(F)F
Methyl perfluoro-3-(3-methoxypropoxy)-3H-propanoate,958445-54-0,COC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,C8H4F12O4,392.097,COC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F
"2-Amino-1-[3,4,5-tris(1,1,2,2-tetrafluoroethoxy)phenyl]ethan-1-ol--hydrogen chloride (1/1)",70126-67-9,Cl.NCC(O)C1=CC(OC(F)(F)C(F)F)=C(OC(F)(F)C(F)F)C(OC(F)(F)C(F)F)=C1,C14H12ClF12NO4,521.68,Cl.NCC(O)c1cc(OC(F)(F)C(F)F)c(OC(F)(F)C(F)F)c(OC(F)(F)C(F)F)c1
"Tris[1,1,2,2,3,4,4,4-octafluoro-3-(trifluoromethyl)butyl](oxo)-lambda~5~-phosphane",61908-82-5,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)P(=O)(C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C15F33OP,854.085,O=P(C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)(C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
"2,2,3,3,4-Pentafluorooctanoic acid",NOCAS_1026903,CCCCC(F)C(F)(F)C(F)(F)C(O)=O,C8H11F5O2,234.166,CCCCC(F)C(F)(F)C(F)(F)C(=O)O
Perfluorohexane sulfonic anhydride,109065-55-6,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12F26O5S2,782.21,O=S(=O)(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"1,1,1,2-tetrafluoro-4-iodo-2-(trifluoromethyl)hexane",261760-23-0,CCC(I)CC(F)(C(F)(F)F)C(F)(F)F,C7H8F7I,352.034,CCC(I)CC(F)(C(F)(F)F)C(F)(F)F
Bis(trimethyl-3-(((nonafluorobutyl)sulphonyl)amino)propylammonium)sulphate,70225-22-8,[O-]S([O-])(=O)=O.C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C20H32F18N4O8S3,894.65,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.O=S(=O)([O-])[O-]
"Praseodymium(3+) (1Z)-2,2,3,3,4,4,4-heptafluoro-1-(4,7,7-trimethyl-3-oxo-2-bicyclo[2.2.1]heptanylidene)butan-1-olate",38832-94-9,[Pr+3].CC1(C)C2CCC1(C)C(=O)[C-]2C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC1(C)C2CCC1(C)C(=O)[C-]2C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC1(C)C2CCC1(C)C(=O)[C-]2C(=O)C(F)(F)C(F)(F)C(F)(F)F,C42H42F21O6Pr,1182.666,CC12CCC([C-](C(=O)C(F)(F)C(F)(F)C(F)(F)F)C1=O)C2(C)C.CC12CCC([C-](C(=O)C(F)(F)C(F)(F)C(F)(F)F)C1=O)C2(C)C.CC12CCC([C-](C(=O)C(F)(F)C(F)(F)C(F)(F)F)C1=O)C2(C)C.[Pr+3]
"S-Deoxo-3,17alpha-bis-(O-tetrahydro-2H-pyran-2-yl)-6-oxo-fulvestrant",862700-70-7,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC1CCCCO1)[C@H](CCCCCCCCCSCCCC(F)(F)C(F)(F)F)C(=O)C1=C3C=CC(OC2CCCCO2)=C1,C42H61F5O5S,773.0,C[C@]12CC[C@@H]3c4ccc(OC5CCCCO5)cc4C(=O)[C@@H](CCCCCCCCCSCCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2OC1CCCCO1
Pentafluorocyclopropane,872-58-2,FC1C(F)(F)C1(F)F,C3HF5,132.033,FC1C(F)(F)C1(F)F
