PREFERRED NAME,CASRN,SMILES,MOLECULAR FORMULA,AVERAGE MASS,Canonical SMILES
Carboxydimethyl[3-(perfluorobutyl)‐2‐hydroxypropyl]azanium,NOCAS_1036792,C[N+](C)(CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(O)=O,C10H13F9NO3,366.203,C[N+](C)(CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)O
Potassium perfluoro-4-ethylcyclohexanesulfonate,335-24-0,[K+].[O-]S(=O)(=O)C1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C(F)(F)C1(F)F,C8F15KO3S,500.22,O=S(=O)([O-])C1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C(F)(F)C1(F)F.[K+]
"Carboxydimethyl(4,4,5,5,5‐pentafluoro‐2‐hydroxypentyl)azanium",NOCAS_1036788,C[N+](C)(CC(O)CC(F)(F)C(F)(F)F)C(O)=O,C8H13F5NO3,266.187,C[N+](C)(CC(O)CC(F)(F)C(F)(F)F)C(=O)O
"N-[3-(Dimethylamino)propyl]perfluoro-3,4,5-tris(methoxy)cyclohexanecarboxamide N-oxide",200636-93-7,C[N+](C)([O-])CCCNC(=O)C1(F)C(F)(F)C(OC(F)(F)F)C(F)(OC(F)(F)F)C(F)(OC(F)(F)F)C1(F)F,C15H14F16N2O5,606.26,C[N+](C)([O-])CCCNC(=O)C1(F)C(F)(F)C(OC(F)(F)F)C(F)(OC(F)(F)F)C(F)(OC(F)(F)F)C1(F)F
2-[(Pentafluoroethyl)sulfanyl]ethan-1-amine,1208078-70-9,NCCSC(F)(F)C(F)(F)F,C4H6F5NS,195.15,NCCSC(F)(F)C(F)(F)F
"1,1,3,5,5-Pentamethyl-1,5-bis(3,3,4,4,5,5,6,6,6-nonafluorohexyl)trisiloxane",147986-73-0,C[SiH](O[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C17H24F18O2Si3,686.603,C[SiH](O[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
1-Pentafluoroethylethanol,374-40-3,CC(O)C(F)(F)C(F)(F)F,C4H5F5O,164.075,CC(O)C(F)(F)C(F)(F)F
Perfluoropentane-1-sulfinic acid,NOCAS_1034822,OS(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C5HF11O2S,334.1,O=S(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
(E)-Perfluoro-2-hept-5-eneoxyacetic acid,NOCAS_1035132,OC(=O)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(\F)=C(/F)C(F)(F)F,C9HF15O3,442.08,O=C(O)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)/C(F)=C(\F)C(F)(F)F
"1-Bromoperfluoro-2,5,8-trioxadodecane",330562-47-5,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)Br,C9BrF19O3,596.97,FC(F)(Br)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"1,1,1,2-Tetrafluoro-8-thiocyanato-2-trifluoromethyl-octane",NOCAS_1026877,FC(F)(F)C(F)(CCCCCCSC#N)C(F)(F)F,C10H12F7NS,311.26,N#CSCCCCCCC(F)(C(F)(F)F)C(F)(F)F
"Perfluoro-4,4-dimethylhexanoic acid",1192593-79-5,OC(=O)C(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C8HF15O2,414.07,O=C(O)C(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F
"2-Hydroxy-N-(3-{(2-hydroxy-3-sulfopropyl)[(perfluorododecyl)sulfonyl]amino}propyl)-N,N-dimethyl-3-sulfo-1-propanaminium",NOCAS_1034949,C[N+](C)(CCCN(CC(O)CS(O)(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(O)CS(O)(=O)=O,C23H26F25N2O10S3,1061.6,C[N+](C)(CCCN(CC(O)CS(=O)(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(O)CS(=O)(=O)O
"1,1,1,2,2-Pentafluoro-2-(2,2,2-trifluoroethylsulfanyl)ethane",NOCAS_1026785,FC(F)(F)CSC(F)(F)C(F)(F)F,C4H2F8S,234.11,FC(F)(F)CSC(F)(F)C(F)(F)F
"Methyl (2R,3S)-3-(pentadecafluoroheptyl)oxirane-2-carboxylate",184007-51-0,COC(=O)[C@@H]1O[C@@H]1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H5F15O3,470.134,COC(=O)[C@@H]1O[C@@H]1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"5,5,6,6,7,7,8,8,9,9,9-Undecafluorononane-2,4-dione",75824-01-0,CC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9H5F11O2,354.119,CC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"Poly(difluoromethylene), .alpha.,.alpha.'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[.omega.-fluoro-, ammonium salt",65530-70-3,"[NH4+].[O-]P(=O)(OCCC(F)(F)F)OCCC(F)(F)F |lp:1:3,3:2,4:2,8:3,9:3,10:3,11:2,15:3,16:3,17:3,Sg:n:10,9,7::ht,Sg:n:17,16,14::ht|",(CF2)n(CF2)nC4H12F2NO4P,,O=P([O-])(OCCC(F)(F)F)OCCC(F)(F)F.[NH4+]
"1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluorohexane-1-sulphonyl chloride",55591-23-6,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(Cl)(=O)=O,C6ClF13O2S,418.55,O=S(=O)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"2‐{[3‐(Acetyloxy)‐1,5‐dihydroxy‐4‐(1,1,2,2,2‐pentafluoroethyl)pentan‐2‐yl]dimethylazaniumyl}acetate",NOCAS_1036348,CC(=O)OC(C(CO)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O,C13H20F5NO6,381.296,CC(=O)OC(C(CO)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC(=O)[O-]
11-(Perfluorooctyl)undecyl methacrylate,3794-51-2,CC(=C)C(=O)OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C23H27F17O2,658.44,C=C(C)C(=O)OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Ethyl 9H-perfluorononanoate,1799-47-9,CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,C11H6F16O2,474.141,CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
3-(Perfluorododecyl)propane‐1‐sulfonic acid,NOCAS_1036447,OS(=O)(=O)CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H7F25O3S,742.24,O=S(=O)(O)CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Perfluoroheptanoic anhydride,78225-99-7,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C14F26O3,710.109,O=C(OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
2-Fluoroethyl pentafluoropropanoate,61799-71-1,FCCOC(=O)C(F)(F)C(F)(F)F,C5H4F6O2,210.075,O=C(OCCF)C(F)(F)C(F)(F)F
"1,1,1,3,3,5,5,5-Octafluoro-2,2,4,4-tetrakis(trifluoromethyl)pentane",62375-54-6,FC(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C9F20,488.067,FC(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F
"N-(2-Chloroethyl)-N'-(2,2,3,3,4,4,5,5,6,6-decafluorocyclohexyl)-N-nitrosourea",74795-00-9,FC1(F)C(NC(=O)N(CCCl)N=O)C(F)(F)C(F)(F)C(F)(F)C1(F)F,C9H6ClF10N3O2,413.6,O=NN(CCCl)C(=O)NC1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
"4-[(2-Chloro-4-nitrophenyl)diazenyl]-N-(2,2,3,3-tetrafluoropropyl)aniline",327972-10-1,[O-][N+](=O)C1=CC(Cl)=C(C=C1)N=NC1=CC=C(NCC(F)(F)C(F)F)C=C1,C15H11ClF4N4O2,390.72,O=[N+]([O-])c1ccc(N=Nc2ccc(NCC(F)(F)C(F)F)cc2)c(Cl)c1
"15,15,16,16,16-Pentafluorohexadecane-1-thiol",220414-16-4,FC(F)(F)C(F)(F)CCCCCCCCCCCCCCS,C16H29F5S,348.46,FC(F)(F)C(F)(F)CCCCCCCCCCCCCCS
"Dipotassium 1,1,2,2,3,3,4,4-octafluoro-4-(1,1,2,2-tetrafluoro-2-sulfinatoethoxy)butane-1-sulfinate",81233-10-5,[K+].[K+].[O-]S(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)S([O-])=O,C6F12K2O5S2,522.36,O=S([O-])C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)[O-].[K+].[K+]
"2,2,3,3-Tetrafluoropropyl dichloroacetate",57878-44-1,FC(F)C(F)(F)COC(=O)C(Cl)Cl,C5H4Cl2F4O2,242.98,O=C(OCC(F)(F)C(F)F)C(Cl)Cl
"2-Bromo-4-(1,1,2,2-tetrafluoroethoxy)phenol",89227-92-9,OC1=C(Br)C=C(OC(F)(F)C(F)F)C=C1,C8H5BrF4O2,289.024,Oc1ccc(OC(F)(F)C(F)F)cc1Br
Ammonium perfluoropentanoate,68259-11-0,[NH4+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C5H4F9NO2,281.078,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[NH4+]
"7,7-bis(1,1,2,2,2-pentafluoroethyl)cyclohepta-1,3,5-triene",17838-67-4,FC(F)(F)C(F)(F)C1(C=CC=CC=C1)C(F)(F)C(F)(F)F,C11H6F10,328.153,FC(F)(F)C(F)(F)C1(C(F)(F)C(F)(F)F)C=CC=CC=C1
"2-Methyl-4,4-bis(trifluoromethyl)-1,4-dihydro-2H-3,1-benzoxazine",405919-98-4,CC1NC2=CC=CC=C2C(O1)(C(F)(F)F)C(F)(F)F,C11H9F6NO,285.189,CC1Nc2ccccc2C(C(F)(F)F)(C(F)(F)F)O1
