PREFERRED NAME,CASRN,SMILES,MOLECULAR FORMULA,AVERAGE MASS,Canonical SMILES
"4-[(1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluoronon-1-en-1-yl)oxy]benzoyl chloride",59432-83-6,FC(OC1=CC=C(C=C1)C(Cl)=O)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C16H4ClF17O2,586.63,O=C(Cl)c1ccc(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
4-(Methyl((pentadecafluoroheptyl)sulfonyl)amino)butyl prop-2-enoate,68227-97-4,CN(CCCCOC(=O)C=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H14F15NO4S,589.32,C=CC(=O)OCCCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
4-(Methyl((undecafluoropentyl)sulfonyl)amino)butyl prop-2-enoate,68227-99-6,CN(CCCCOC(=O)C=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C13H14F11NO4S,489.3,C=CC(=O)OCCCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Perfluorononanesulfonyl fluoride,68259-06-3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(F)(=O)=O,C9F20O2S,552.13,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Ammonium perfluorohexanesulfonate,68259-08-5,[NH4+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6H4F13NO3S,417.14,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[NH4+]
Ammonium perfluorobutanesulfonate,68259-10-9,[NH4+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C4H4F9NO3S,317.13,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[NH4+]
Tridecafluoro-N-methylhexanesulphonamide,68259-15-4,CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7H4F13NO2S,413.15,CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"N,N,N-Trimethyl-3-(carboxymethyl(perfluorooctylsulfonyl)amino)-1-propanaminium",68318-36-5,C[N+](C)(C)CCCN(CC([O-])=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C16H17F17N2O4S,656.35,C[N+](C)(C)CCCN(CC(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
(Perfluorododecyl)ethylsulfonyl chloride,68758-57-6,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS(Cl)(=O)=O,C14H4ClF25O2S,746.65,O=S(=O)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"4-Bromo-(1,1,2,2-tetrafluoroethoxy)benzene",68834-05-9,FC(F)C(F)(F)OC1=CC=C(Br)C=C1,C8H5BrF4O,273.025,FC(F)C(F)(F)Oc1ccc(Br)cc1
"4,4'-[[2,2,2-Trifluoro-1-(trifluoromethyl)ethylidene]bis(4,1-phenyleneoxy)]bis-benzenamine",69563-88-8,NC1=CC=C(OC2=CC=C(C=C2)C(C2=CC=C(OC3=CC=C(N)C=C3)C=C2)(C(F)(F)F)C(F)(F)F)C=C1,C27H20F6N2O2,518.459,Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1
"4,4-Dimethyl-3-oxo-2-[2-(2,2,3,3-tetrafluoro-2,3-dihydro-1,4-benzodioxin-6-yl)hydrazinylidene]pentanenitrile",35040-02-9,CC(C)(C)C(=O)C(=NNC1=CC2=C(OC(F)(F)C(F)(F)O2)C=C1)C#N,C15H13F4N3O3,359.281,CC(C)(C)C(=O)C(C#N)=NNc1ccc2c(c1)OC(F)(F)C(F)(F)O2
[4-(Heptadecafluorooctyl)phenyl]methanol,163114-33-8,OCC1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H7F17O,526.193,OCc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
"Methanesulfonic acid--1,1,1,3,3,3-hexafluoropropan-2-ol (1/1)",25236-65-1,CS(O)(=O)=O.OC(C(F)(F)F)C(F)(F)F,C4H6F6O4S,264.14,CS(=O)(=O)O.OC(C(F)(F)F)C(F)(F)F
"Ethenyl 2,2,3,3,4,4,5,5,6,6,7,7-dodecafluoroheptanoate",45271-27-0,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)OC=C,C9H4F12O2,372.11,C=COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
"1,1,2,2,3-Pentafluoropropane",679-86-7,FCC(F)(F)C(F)F,C3H3F5,134.049,FCC(F)(F)C(F)F
"1,3,3,4,4,5,5-Heptafluoro-Cyclopentene",1892-03-1,FC1=CC(F)(F)C(F)(F)C1(F)F,C5HF7,194.052,FC1=CC(F)(F)C(F)(F)C1(F)F
"5-Octen-4-one-5,8,8,8-d4, 1,1,1,2,2,3,3-heptafluoro-6-hydroxy-7,7-di(methyl-d3)-, compd. with (5Z)-1,1,1,2,2,3,3-heptafluoro-6-hydroxy-7,7-di(methyl-d3)-5-octen-4-one-5,8,8,8-d4, europium salt (2:1:1)",56689-47-5,[Eu].[2H]C(=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])C(=O)C(F)(F)C(F)(F)C(F)(F)F.[2H]C(=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])C(=O)C(F)(F)C(F)(F)C(F)(F)F.[2H]C(=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])C(=O)C(F)(F)C(F)(F)C(F)(F)F,C30H3D30EuF21O6,1070.702,[2H]C(C(=O)C(F)(F)C(F)(F)C(F)(F)F)=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H].[2H]C(C(=O)C(F)(F)C(F)(F)C(F)(F)F)=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H].[2H]C(C(=O)C(F)(F)C(F)(F)C(F)(F)F)=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H].[Eu]
"5-Bromo-3,5-dichloro-2,2,3,4,4,5-hexafluoropentanoyl chloride",88639-63-8,FC(Cl)(Br)C(F)(F)C(F)(Cl)C(F)(F)C(Cl)=O,C5BrCl3F6O,376.3,O=C(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)Br
1-Methyl-4-(nonadecafluorononyl)benzene,88950-99-6,CC1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C16H7F19,560.202,Cc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
"(1,1,2,2-Tetrafluoro-2-iodoethoxy)benzene",89045-65-8,FC(F)(I)C(F)(F)OC1=CC=CC=C1,C8H5F4IO,320.025,FC(F)(I)C(F)(F)Oc1ccccc1
"3-Amino-4,4,5,5-tetrafluoro-1-phenylpent-2-ene-1-thione",92832-08-1,NC(=CC(=S)C1=CC=CC=C1)C(F)(F)C(F)F,C11H9F4NS,263.25,NC(=CC(=S)c1ccccc1)C(F)(F)C(F)F
"2,3,3,4,4,5,5,6,6,7,7,7-Dodecafluoro-2-hydroxyheptanoic acid",93682-62-3,OC(=O)C(O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7H2F12O3,362.071,O=C(O)C(O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"1,1,1,2,3,3-Hexafluoro-2,3-bis(pentafluoroethoxy)propane",95842-03-8,FC(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F,C7F16O2,420.049,FC(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
"2,2,3,3,4,4,5,5,6,6-Decafluoro-1-[2,3,4,5-tetrafluoro-6-(trifluoromethyl)phenyl]piperidine",96595-38-9,FC1=C(F)C(N2C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F)=C(C(F)=C1F)C(F)(F)F,C12F17N,481.112,Fc1c(F)c(F)c(C(F)(F)F)c(N2C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F)c1F
"1,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoro-1-iodohept-1-ene",102682-83-7,FC(I)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7F13I,457.961,FC(I)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"Tetrafluoropropane-1,1,1,2-tetrol",112385-13-4,OC(O)(O)C(O)(F)C(F)(F)F,C3H4F4O4,180.055,OC(O)(O)C(O)(F)C(F)(F)F
"1-Ethenyl-2,3,5,6-tetrafluoro-4-(2,2,3,3,3-pentafluoropropoxy)benzene",121247-90-3,FC1=C(F)C(C=C)=C(F)C(F)=C1OCC(F)(F)C(F)(F)F,C11H5F9O,324.146,C=Cc1c(F)c(F)c(OCC(F)(F)C(F)(F)F)c(F)c1F
Tris(trifluoromethyl)oxaziridine,137526-89-7,FC(F)(F)N1OC1(C(F)(F)F)C(F)(F)F,C4F9NO,249.036,FC(F)(F)N1OC1(C(F)(F)F)C(F)(F)F
"1,1,2,2,3,3-Hexafluoro-1,3-dinitrosopropane",137541-04-9,FC(F)(N=O)C(F)(F)C(F)(F)N=O,C3F6N2O2,210.035,O=NC(F)(F)C(F)(F)C(F)(F)N=O
"8-Bromo-1,1,1,2,2,3,3,4,4,5,5,6,6,7,7-pentadecafluorooctane",142494-31-3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CBr,C8H2BrF15,462.984,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CBr
2-{[4-(Heptafluoropropyl)phenyl]methyl}oxirane,144006-68-8,FC(F)(F)C(F)(F)C(F)(F)C1=CC=C(CC2CO2)C=C1,C12H9F7O,302.192,FC(F)(F)C(F)(F)C(F)(F)c1ccc(CC2CO2)cc1
"1-Nitro-4-[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)oxy]benzene",147395-05-9,[O-][N+](=O)C1=CC=C(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,C14H8F13NO3,485.201,O=[N+]([O-])c1ccc(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
"4-[(4,4,5,5,6,6,6-Heptafluorohexyl)(dimethyl)silyl]morpholine",197018-78-3,C[Si](C)(CCCC(F)(F)C(F)(F)C(F)(F)F)N1CCOCC1,C12H20F7NOSi,355.372,C[Si](C)(CCCC(F)(F)C(F)(F)C(F)(F)F)N1CCOCC1
"4,4,5,5,6,6,7,7,8,8,8-Undecafluorooctanal",195047-10-0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC=O,C8H5F11O,326.109,O=CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"2,2,3,3,4,4,4-Heptafluoro-N-hydroxy-N-methylbutanamide",193008-44-5,CN(O)C(=O)C(F)(F)C(F)(F)C(F)(F)F,C5H4F7NO2,243.081,CN(O)C(=O)C(F)(F)C(F)(F)C(F)(F)F
"4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluoro-1-(thiophen-2-yl)nonane-1,3-dione",171520-40-4,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)CC(=O)C1=CC=CS1,C13H5F13O2S,472.22,O=C(CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1cccs1
"2,2,3,3,4,4,5,5,6,6,7,7-Dodecafluorooctane-1,8-diyl dicyanate",168774-28-5,FC(F)(COC#N)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC#N,C10H4F12N2O2,412.135,N#COCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC#N
"2,2'-[(3,3,4,4,5,5,6,6,6-Nonafluorohexyl)azanediyl]di(ethan-1-ol)",27607-40-5,OCCN(CCO)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H14F9NO2,351.213,OCCN(CCO)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Tetradecyl perfluorodecanoate,250237-67-3,CCCCCCCCCCCCCCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C24H29F19O2,710.464,CCCCCCCCCCCCCCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"1,1,1,2,2,3,3,4,4,5,5,6,6-Tridecafluoro-10-iododecane",38565-61-6,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCI,C10H8F13I,502.058,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCI
2-Bromo-4-(heptadecafluorooctyl)thiophene,426258-05-1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CSC(Br)=C1,C12H2BrF17S,581.08,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1csc(Br)c1
"4,4,5,5,5-Pentafluoro-2-methylpentanoic acid",403615-96-3,CC(CC(F)(F)C(F)(F)F)C(O)=O,C6H7F5O2,206.112,CC(CC(F)(F)C(F)(F)F)C(=O)O
"1,1,2,2,3,3,4,4,5,5,6,6,8,8,8-Pentadecafluorooctyl prop-2-enoate",54841-42-8,FC(F)(F)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(=O)C=C,C11H5F15O2,454.135,C=CC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(F)(F)F
"3-(Heptafluoropropyl)pentane-1,5-diol",678-93-3,OCCC(CCO)C(F)(F)C(F)(F)C(F)(F)F,C8H11F7O2,272.163,OCCC(CCO)C(F)(F)C(F)(F)C(F)(F)F
"3,4'-Bis(heptadecafluorooctyl)-2,2'-bithiophene",677033-16-8,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CSC(=C1)C1=C(C=CS1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C24H4F34S2,1002.36,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1csc(-c2sccc2C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1
"3,3-Bis[(2,2,3,3-tetrafluoropropoxy)methyl]oxetane",67416-37-9,FC(F)C(F)(F)COCC1(COCC(F)(F)C(F)F)COC1,C11H14F8O3,346.217,FC(F)C(F)(F)COCC1(COCC(F)(F)C(F)F)COC1
"2,3-Difluoro-4-[(5,5,6,6,7,7,8,8,8-nonafluorooctyl)oxy]benzoic acid",668989-63-7,OC(=O)C1=C(F)C(F)=C(OCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,C15H11F11O3,448.232,O=C(O)c1ccc(OCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(F)c1F
"1,1',1''-(1,3,5-Triazinane-1,3,5-triyl)tris(2,3,3,3-tetrafluoropropan-1-one)",64498-32-4,FC(C(=O)N1CN(CN(C1)C(=O)C(F)C(F)(F)F)C(=O)C(F)C(F)(F)F)C(F)(F)F,C12H9F12N3O3,471.203,O=C(C(F)C(F)(F)F)N1CN(C(=O)C(F)C(F)(F)F)CN(C(=O)C(F)C(F)(F)F)C1
"1,5-Dichloro-1,2,2,3,3,4,4-heptafluorocyclopentane",64470-65-1,FC1(F)C(Cl)C(F)(Cl)C(F)(F)C1(F)F,C5HCl2F7,264.95,FC1(F)C(Cl)C(F)(Cl)C(F)(F)C1(F)F
"2-[4-(1,1,2,2-Tetrafluoro-2-phenylethyl)phenyl]propane-1,2-diol",60317-35-3,CC(O)(CO)C1=CC=C(C=C1)C(F)(F)C(F)(F)C1=CC=CC=C1,C17H16F4O2,328.307,CC(O)(CO)c1ccc(C(F)(F)C(F)(F)c2ccccc2)cc1
Bis(3-methoxypropyl) octafluorohexanedioate,600700-53-6,COCCCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)OCCCOC,C14H18F8O6,434.279,COCCCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)OCCCOC
"N-(2,2,3,3,3-Pentafluoro-1-phenylpropylidene)hydroxylamine",65686-80-8,ON=C(C1=CC=CC=C1)C(F)(F)C(F)(F)F,C9H6F5NO,239.145,ON=C(c1ccccc1)C(F)(F)C(F)(F)F
"6-Chloro-1,1,2,2,3,3,4,4,5,5,6,7-dodecafluoroheptane",651732-97-7,FCC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,C7H3ClF12,350.53,FCC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
"Triphenyl(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)stannane",649572-74-7,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,C26H19F13Sn,697.127,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C[CH2][Sn]([c]1ccccc1)([c]1ccccc1)[c]1ccccc1
"1,1,1,2,2,3,3,4,4-Nonafluoro-5-[(prop-2-en-1-yl)oxy]pentane",646063-05-0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)COCC=C,C8H7F9O,290.129,C=CCOCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Methyl 4-(heptafluoropropyl)benzoate,64299-47-4,COC(=O)C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)F,C11H7F7O2,304.164,COC(=O)c1ccc(C(F)(F)C(F)(F)C(F)(F)F)cc1
"2,3,3,4,4,4-Hexafluoro-1-(piperidin-1-yl)butan-1-one",62765-23-5,FC(C(=O)N1CCCCC1)C(F)(F)C(F)(F)F,C9H11F6NO,263.183,O=C(C(F)C(F)(F)C(F)(F)F)N1CCCCC1
"N,N'-Bis{[(1,1,1,3,3,3-hexafluoropropan-2-ylidene)amino]sulfanyl}urea",62735-45-9,FC(F)(F)C(=NSNC(=O)NSN=C(C(F)(F)F)C(F)(F)F)C(F)(F)F,C7H2F12N4OS2,450.22,O=C(NSN=C(C(F)(F)F)C(F)(F)F)NSN=C(C(F)(F)F)C(F)(F)F
"2-[2,3,3,3-Tetrafluoro-2-(trifluoromethyl)propanoyl]benzoic acid",62656-73-9,OC(=O)C1=CC=CC=C1C(=O)C(F)(C(F)(F)F)C(F)(F)F,C11H5F7O3,318.147,O=C(O)c1ccccc1C(=O)C(F)(C(F)(F)F)C(F)(F)F
"1-Nitro-4-(3,3,4,4-tetrafluorobut-1-en-1-yl)benzene",62448-59-3,[O-][N+](=O)C1=CC=C(C=CC(F)(F)C(F)F)C=C1,C10H7F4NO2,249.165,O=[N+]([O-])c1ccc(C=CC(F)(F)C(F)F)cc1
"2,2,3-Trifluoro-1-methyl-3-(trifluoromethyl)-2,3-dihydro-1H-inden-1-ol",62409-60-3,CC1(O)C2=CC=CC=C2C(F)(C(F)(F)F)C1(F)F,C11H8F6O,270.174,CC1(O)c2ccccc2C(F)(C(F)(F)F)C1(F)F
S-Propan-2-yl pentafluoropropanethioate,62243-63-4,CC(C)SC(=O)C(F)(F)C(F)(F)F,C6H7F5OS,222.17,CC(C)SC(=O)C(F)(F)C(F)(F)F
N-(Pentafluoroethyl)aniline,61881-21-8,FC(F)(F)C(F)(F)NC1=CC=CC=C1,C8H6F5N,211.135,FC(F)(F)C(F)(F)Nc1ccccc1
"[3,3-Bis(trifluoromethyl)-4,5-dihydro-3H-pyrazol-4-yl](phenyl)methanone",61860-03-5,FC(F)(F)C1(N=NCC1C(=O)C1=CC=CC=C1)C(F)(F)F,C12H8F6N2O,310.199,O=C(c1ccccc1)C1CN=NC1(C(F)(F)F)C(F)(F)F
Dichloro(difluoro)(pentafluoroethyl)-lambda~5~-phosphane,61527-27-3,FC(F)(F)C(F)(F)P(F)(F)(Cl)Cl,C2Cl2F7P,258.88,FC(F)(F)C(F)(F)P(F)(F)(Cl)Cl
"Ethyl {[1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-yl]oxy}acetate",61468-27-7,CCOC(=O)COC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C8H7F9O3,322.127,CCOC(=O)COC(C(F)(F)F)(C(F)(F)F)C(F)(F)F
"2,2,3,3,5,5-Hexafluoro-4-(trifluoromethyl)oxolane",61340-70-3,FC(F)(F)C1C(F)(F)OC(F)(F)C1(F)F,C5HF9O,248.048,FC(F)(F)C1C(F)(F)OC(F)(F)C1(F)F
"2,2,3,4,4,4-Hexafluoro-1-phenylbutan-1-one",60375-79-3,FC(C(F)(F)F)C(F)(F)C(=O)C1=CC=CC=C1,C10H6F6O,256.147,O=C(c1ccccc1)C(F)(F)C(F)C(F)(F)F
"7-[(Hex-1-en-3-yl)oxy]-4,6-dinitro-2-(pentafluoroethyl)-1H-benzimidazole",60285-68-9,CCCC(OC1=C(C=C(C2=C1NC(=N2)C(F)(F)C(F)(F)F)[N+]([O-])=O)[N+]([O-])=O)C=C,C15H13F5N4O5,424.284,C=CC(CCC)Oc1c([N+](=O)[O-])cc([N+](=O)[O-])c2nc(C(F)(F)C(F)(F)F)[nH]c12
"4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Pentadecafluorodec-2-enoic acid",755-03-3,OC(=O)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H3F15O2,440.108,O=C(O)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"1,1,1,5,6,6-Hexafluoro-3-(prop-2-en-1-yl)-2-(trifluoromethyl)hex-5-en-2-ol",795298-34-9,OC(C(CC=C)CC(F)=C(F)F)(C(F)(F)F)C(F)(F)F,C10H9F9O,316.167,C=CCC(CC(F)=C(F)F)C(O)(C(F)(F)F)C(F)(F)F
"1,2,2,3,3,4,4,6,7,7,8,8,9,9-Tetradecafluoro-5,6-bis(trifluoromethyl)bicyclo[3.3.1]nonane",75108-51-9,FC(F)(F)C1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C1(C(F)(F)F)C2(F)F,C11F20,512.089,FC(F)(F)C1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C1(C(F)(F)F)C2(F)F
"Ethyl 3-amino-4,4,5,5,5-pentafluoropent-2-enoate",72850-56-7,CCOC(=O)C=C(N)C(F)(F)C(F)(F)F,C7H8F5NO2,233.138,CCOC(=O)C=C(N)C(F)(F)C(F)(F)F
1-Heptadecylperfluorooctane,871311-25-0,CCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C25H35F17,658.528,CCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"[3-(1,1,2,3,3,3-Hexafluoropropoxy)propyl](trimethoxy)silane",86605-59-6,CO[Si](CCCOC(F)(F)C(F)C(F)(F)F)(OC)OC,C9H16F6O4Si,330.298,CO[Si](CCCOC(F)(F)C(F)C(F)(F)F)(OC)OC
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-Hexadecafluoro-2-methyldecan-2-ol",80466-32-6,CC(C)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,C11H8F16O,460.158,CC(C)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
"1-Ethyl-3-(1,1,2,2-tetrafluoroethyl)-2,3-dihydro-1H-imidazol-1-ium iodide",874968-22-6,[I-].CC[NH+]1CN(C=C1)C(F)(F)C(F)F,C7H11F4IN2,326.077,CC[NH+]1C=CN(C(F)(F)C(F)F)C1.[I-]
"(2-Cyclohexyl-1,1,2,2-tetrafluoroethyl)benzene",873013-82-2,FC(F)(C1CCCCC1)C(F)(F)C1=CC=CC=C1,C14H16F4,260.276,FC(F)(c1ccccc1)C(F)(F)C1CCCCC1
"3-(1,1,2,2-Tetrafluoroethoxy)but-1-ene",83168-74-5,CC(OC(F)(F)C(F)F)C=C,C6H8F4O,172.123,C=CC(C)OC(F)(F)C(F)F
"2,2,3,3,4,4,5,5,6-Nonafluoro-6-iodooxane",827601-56-9,FC1(F)OC(F)(I)C(F)(F)C(F)(F)C1(F)F,C5F9IO,373.944,FC1(F)OC(F)(I)C(F)(F)C(F)(F)C1(F)F
"3-Hydroxy-5,5-bis(trifluoromethyl)furan-2(5H)-one",825630-87-3,OC1=CC(OC1=O)(C(F)(F)F)C(F)(F)F,C6H2F6O3,236.069,O=C1OC(C(F)(F)F)(C(F)(F)F)C=C1O
"2,2,3-Trifluoro-3-(heptafluoropropoxy)propanoic acid",824393-42-2,OC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F,C6H2F10O3,312.063,O=C(O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F
