PREFERRED NAME,CASRN,SMILES,MOLECULAR FORMULA,AVERAGE MASS,Canonical SMILES
Bis(pentafluoroethyl)diselane,6123-49-5,FC(F)(F)C(F)(F)[Se][Se]C(F)(F)C(F)(F)F,C4F10Se2,395.97,FC(F)(F)C(F)(F)[Se][Se]C(F)(F)C(F)(F)F
"2,2,4,4,5,5-Hexafluoro-1,3-dioxolane",21297-65-4,FC1(F)OC(F)(F)C(F)(F)O1,C3F6O2,182.021,FC1(F)OC(F)(F)C(F)(F)O1
"2-Phenyl-4,4,5,5-tetrakis(trifluoromethyl)-1,3,2-dioxaborolane",23542-71-4,FC(F)(F)C1(OB(OC1(C(F)(F)F)C(F)(F)F)C1=CC=CC=C1)C(F)(F)F,C12H5BF12O2,419.96,FC(F)(F)C1(C(F)(F)F)OB(c2ccccc2)OC1(C(F)(F)F)C(F)(F)F
"Silver(1+) 1,1,1,2,3,3,3-heptafluoropropan-2-ide",22407-25-6,[Ag+].F[C-](C(F)(F)F)C(F)(F)F,C3AgF7,276.89,F[C-](C(F)(F)F)C(F)(F)F.[Ag+]
"1-Cyano-2,2,3,3,4,4,4-heptafluorobutyl dimethyl phosphate",56376-19-3,COP(=O)(OC)OC(C#N)C(F)(F)C(F)(F)C(F)(F)F,C7H7F7NO4P,333.099,COP(=O)(OC)OC(C#N)C(F)(F)C(F)(F)C(F)(F)F
"(1,1,2,3,3,3-Hexafluoropropyl)(trimethyl)silane",62281-36-1,C[Si](C)(C)C(F)(F)C(F)C(F)(F)F,C6H10F6Si,224.221,C[Si](C)(C)C(F)(F)C(F)C(F)(F)F
(Perfluoroheptyl)methyl methacrylate,3934-23-4,CC(=C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12H7F15O2,468.162,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"Sodium 2,2,3,3,4,4,5,5-octafluoropentanoate",22715-46-4,[Na+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,C5HF8NaO2,268.038,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)F.[Na+]
Sodium perfluorooctanesulfonate,4021-47-0,[Na+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8F17NaO3S,522.11,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+]
"Potassium 2,2,3,3-tetrafluoropropanoate",71592-16-0,[K+].[O-]C(=O)C(F)(F)C(F)F,C3HF4KO2,184.131,O=C([O-])C(F)(F)C(F)F.[K+]
"Sodium tetrakis[3,5-bis(1,1,1,3,3,3-hexafluoro-2-methoxypropan-2-yl)phenyl]borate(1-)--water (1/1/3)",120945-63-3,O.O.O.[Na+].COC(C1=CC(=CC(=C1)[B-](C1=CC(=CC(=C1)C(OC)(C(F)(F)F)C(F)(F)F)C(OC)(C(F)(F)F)C(F)(F)F)(C1=CC(=CC(=C1)C(OC)(C(F)(F)F)C(F)(F)F)C(OC)(C(F)(F)F)C(F)(F)F)C1=CC(=CC(=C1)C(OC)(C(F)(F)F)C(F)(F)F)C(OC)(C(F)(F)F)C(F)(F)F)C(OC)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,C56H42BF48NaO11,1836.66,COC(c1cc([B-](c2cc(C(OC)(C(F)(F)F)C(F)(F)F)cc(C(OC)(C(F)(F)F)C(F)(F)F)c2)(c2cc(C(OC)(C(F)(F)F)C(F)(F)F)cc(C(OC)(C(F)(F)F)C(F)(F)F)c2)c2cc(C(OC)(C(F)(F)F)C(F)(F)F)cc(C(OC)(C(F)(F)F)C(F)(F)F)c2)cc(C(OC)(C(F)(F)F)C(F)(F)F)c1)(C(F)(F)F)C(F)(F)F.O.O.O.[Na+]
"5,5,6,6,7,7,7-Heptafluoroheptan-3-amine--hydrogen chloride (1/1)",2263-70-9,Cl.CCC(N)CC(F)(F)C(F)(F)C(F)(F)F,C7H11ClF7N,277.61,CCC(N)CC(F)(F)C(F)(F)C(F)(F)F.Cl
"Sodium 6,6,7,7,8,8,8-heptafluoro-2,2-dimethyl-3,5-dioxooctan-4-ide",24347-13-5,[Na+].CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,C10H10F7NaO2,318.167,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F.[Na+]
"1,1,1,2,2-Pentafluoro-7-phenylheptan-3-one",1071000-98-0,FC(F)(F)C(F)(F)C(=O)CCCCC1=CC=CC=C1,C13H13F5O,280.238,O=C(CCCCc1ccccc1)C(F)(F)C(F)(F)F
"1,1,1,2,2,3,3,4,4,5,5,6,6-Tridecafluoro-8-propoxyoctane",1193010-01-3,CCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H11F13O,406.187,CCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Perfluoro-9-methyldecanoyl fluoride,15720-98-6,FC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C11F22O,566.085,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
"Lithium 4,4,5,5,6,6-hexafluoro-1,1,3,3-tetraoxo-1lambda~6~,3lambda~6~,2-dithiazinan-2-ide",189217-62-7,[Li+].FC1(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C1(F)F,C3F6LiNO4S2,299.09,O=S1(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)C1(F)F.[Li+]
"(2,2,3,3-Tetrafluorocyclopropyl)benzene",922141-41-1,FC1(F)C(C2=CC=CC=C2)C1(F)F,C9H6F4,190.141,FC1(F)C(c2ccccc2)C1(F)F
"1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)propan-2-yl 3-methylbutanoate",914637-45-9,CC(C)CC(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C9H9F9O2,320.155,CC(C)CC(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F
"1,1,1,2,2,3,3-Heptafluoro-7-iodoheptane",2967-60-4,FC(F)(F)C(F)(F)C(F)(F)CCCCI,C7H8F7I,352.034,FC(F)(F)C(F)(F)C(F)(F)CCCCI
"Methyl 4-bromo-2,2,3,3,4,4-hexafluorobutanoate",128160-31-6,COC(=O)C(F)(F)C(F)(F)C(F)(F)Br,C5H3BrF6O2,288.971,COC(=O)C(F)(F)C(F)(F)C(F)(F)Br
"1,1,2,2,4,4,4-Heptafluoro-3-(iodomethyl)-1-(1,2,2,2-tetrafluoroethoxy)butane",25080-20-0,FC(OC(F)(F)C(F)(F)C(CI)C(F)(F)F)C(F)(F)F,C7H4F11IO,439.995,FC(OC(F)(F)C(F)(F)C(CI)C(F)(F)F)C(F)(F)F
2-(Perfluorooctyl)ethyl acrylate,27905-45-9,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C,C13H7F17O2,518.17,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
