Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings,Tanimoto_to_PFOS,Tanimoto_to_PFOA,Docking Score
Oc1ccc(SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,372.252,5.342600000000003,128.02821820977397,20.23,1.0,2.0,6.0,1.0,0.2051282051282051,0.2105263157894736,-6.3660884
COC(=O)OCC(F)(F)C(F)(F)F,208.082,1.967,69.41530905910469,35.53,0.0,3.0,2.0,0.0,0.1764705882352941,0.21875,-5.179491
OCc1ccc(OCC(F)(F)C(F)F)nc1,239.168,1.8531,88.68074015143772,42.35,1.0,3.0,5.0,1.0,0.1111111111111111,0.1136363636363636,-5.4769726
*C(*)(*)C(*)(*)C(*)(*)S(=O)(=O)O,117.10499999999998,-0.437,43.09777126666339,54.370000000000005,1.0,2.0,3.0,0.0,0.2592592592592592,0.1,-5.7072225
Nc1ccc(C(F)(C(F)(F)F)C(F)(F)F)c(N)c1,276.155,3.1404000000000005,96.36475867719588,52.04,2.0,2.0,1.0,1.0,0.1111111111111111,0.1142857142857142,-5.5832958
C=COCC(F)(F)C(F)(F)C(F)(F)F,226.09099999999995,2.979400000000001,74.14665161761886,9.23,0.0,1.0,4.0,0.0,0.1875,0.1935483870967742,-5.0160184
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,400.081,4.352800000000001,120.57111062469532,20.23,1.0,1.0,6.0,0.0,0.36,0.375,-5.6735749
O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,602.1310000000002,6.523200000000003,174.58640434617016,34.14,0.0,2.0,9.0,0.0,0.5909090909090909,0.36,-6.7977719
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,846.0000000000002,10.200100000000004,231.54586332088988,0.0,0.0,0.0,12.0,0.0,0.3478260869565217,0.3636363636363636,-7.8552904
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,454.129,5.0897000000000014,143.45716751305554,26.3,0.0,2.0,8.0,0.0,0.2857142857142857,0.3333333333333333,-6.7701964
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,495.951,5.753000000000001,128.67377287914638,0.0,0.0,0.0,5.0,0.0,0.3478260869565217,0.3636363636363636,-5.8292542
FC(F)(F)C(F)(F)CI,259.943,2.619,61.55865039229757,0.0,0.0,0.0,1.0,0.0,0.1538461538461538,0.16,-4.5266519
FC(F)C(F)(F)[Si](Cl)(Cl)Cl,235.467,3.0813,69.17320029226681,0.0,0.0,0.0,2.0,0.0,0.1034482758620689,0.1071428571428571,-4.5619664
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,350.0489999999999,4.447100000000001,104.24056820164724,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,0.1153846153846153,-4.9086118
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,238.024,3.3816,69.48943140028172,0.0,0.0,0.0,1.0,0.0,0.3888888888888889,0.4117647058823529,-4.4577918
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,946.0140000000004,11.4707,260.937889161388,0.0,0.0,0.0,14.0,0.0,0.3478260869565217,0.3636363636363636,-7.8423533
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(C(F)(F)F)C(F)(F)F,450.06299999999993,5.922800000000002,133.6325940421454,0.0,0.0,0.0,0.0,1.0,0.0967741935483871,0.1,-4.815361
CC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,388.011,4.668200000000001,103.68056046158895,0.0,0.0,0.0,4.0,0.0,0.2258064516129032,0.2333333333333333,-5.676158
C=CCC1(F)C(=O)C(F)(F)C1(F)F,200.106,2.1241000000000003,70.22266864317065,17.07,0.0,1.0,2.0,1.0,0.0526315789473684,0.054054054054054,-4.8499851
O=C(O)COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,294.069,2.5133,92.12308130789536,46.53,1.0,2.0,5.0,0.0,0.2903225806451613,0.3928571428571428,-5.5498714
C=CCCC(F)(F)C(F)(F)F,174.11199999999997,3.1502000000000017,60.70203558225951,0.0,0.0,0.0,3.0,0.0,0.1290322580645161,0.1333333333333333,-4.8515768
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S,252.101,3.3419,76.4789626607572,0.0,1.0,1.0,2.0,0.0,0.3043478260869565,0.3181818181818182,-4.5006533
